,FAN_ACTUAL
17460,4.1000000000000005
8948,8.3
19164,7.2
20765,20.72
542,6.8000000000000025
20161,11.44
15938,1.2000000000000002
146,3.5
6394,18.200000000000006
16481,3.2
12532,8.6
241,3.2
21117,7.0
3595,2.3000000000000003
18374,13.36
8723,2.4000000000000004
7828,7.9
13119,1.0
1952,8.3
6826,-1.64
1594,10.8
10765,6.8000000000000025
4256,17.84
21310,2.0
11840,7.0
4119,4.260000000000002
2680,1.3
844,8.5
6545,0.7000000000000001
13999,0.5
16550,1.9
1783,2.2
62,0.8
0,0.0
21400,5.9
3462,0.9
7547,1.6
9948,0.5
17196,1.6
2144,5.000000000000001
18089,34.1
3665,1.6
17362,1.0
17507,2.2
12181,1.0
7563,0.8
5915,9.3
2271,1.5
20280,17.1
17105,0.5
4373,11.34
11037,7.0
775,9.86
10934,0.9
14624,4.7
15018,14.4
10522,4.9
15500,6.7
20108,4.2
17747,0.8
11843,9.0
18604,2.9000000000000004
6328,0.0
4201,7.3000000000000025
6653,31.04000000000001
3449,7.8000000000000025
7121,4.5
22278,27.8
19594,2.0
10269,3.9
16308,3.9
18602,4.7
4990,16.7
10815,13.8
8821,0.7
413,15.4
14306,0.9
1175,0.8
5999,8.0
14084,12.9
16189,29.36000000000001
6223,0.6000000000000001
16692,0.2
17329,3.0
7945,4.94
7552,12.7
7739,0.4
9423,2.0
15019,2.4000000000000004
20815,6.880000000000001
1514,1.2000000000000002
12412,6.4
20069,4.0
7567,2.2
5304,38.7
12699,0.8
5321,7.6
8460,1.6
12020,19.1
18962,4.9
1571,12.8
9594,1.1
16355,2.2
13588,6.5
6210,18.9
11924,1.5
20257,16.1
9362,0.6000000000000001
16782,4.2
8622,8.58
6053,7.0
1413,1.6
1130,2.3000000000000003
19040,5.1000000000000005
17981,0.7000000000000001
22345,0.8
21047,4.5
16804,18.0
1621,6.9
22026,19.3
14319,11.2
10901,0.6000000000000001
18667,1.8
15237,6.4
10864,21.3
13332,0.6000000000000001
20790,4.3
11040,9.3
19338,9.1
20531,4.6
3298,2.3000000000000003
6626,40.9
10631,37.52
8797,14.2
20580,11.760000000000002
16171,0.9
14301,19.3
12735,0.7000000000000001
20582,7.3000000000000025
17887,3.6
19692,21.3
13952,0.9
12252,8.0
22383,9.8
9575,4.3
21681,2.5
10513,21.8
10663,0.8
14169,4.7
422,6.3000000000000025
