,PLAYER NAME,OVERALL,TEE TIME,ODDS,DrivDist,DrivAcc,GIR,Prox,SandSave,Scram,ARG,Putt5,Putt5to15,Putt15to25,Putt25plus,DriveGain,AppGain,ArgGain,PuttGain,TotalGain,ScoreAvg,ScorePar3,ScorePar4,ScorePar5,Top10,Wins,Top3,YearMoney,WorldRank,WorldRankPoints
0,Corey Conners,E,07:00:00,200,300.6,66.54,68.06,34.83,43.48,56.52,8.5,95.72,50.44,17.24,6.82,0.453,0.288,-0.095,0.226,0.871,70.802,2.98,4.03,4.68,1.0,0.0,0.0,399920.0,68.0,1.95
1,Lucas Glover,E,07:00:00,500,300.3,52.41,66.2,41.92,42.86,49.32,10.33,95.98,46.51,15.63,4.48,0.126,0.12,0.27,-0.262,0.254,70.746,3.24,4.04,4.76,0.0,0.0,0.0,172055.0,119.0,1.34
2,Yuxin Lin,E,07:00:00,500,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sandy Lyle,E,07:00:00,500,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cheng Tsung Pan,E,07:00:00,500,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Jimmy Walker,E,07:00:00,500,305.0,35.51,55.0,43.92,53.85,50.62,8.33,96.95,52.56,18.42,5.26,-0.648,-0.749,-0.55,0.096,-1.851,72.85,3.24,4.1,4.97,0.0,0.0,0.0,17980.0,407.0,0.39
6,Charles Howell III,E,07:11:00,400,303.7,53.57,61.11,47.5,47.83,64.29,10.5,93.94,63.49,30.77,7.14,0.041,-0.958,0.466,1.49,1.039,70.138,3.3,3.97,4.61,0.0,0.0,0.0,116905.0,103.0,1.47
7,Jazz Janewattananond,E,07:11:00,500,285.0,65.0,72.22,41.33,37.5,36.67,13.5,96.55,45.0,10.34,8.33,-0.077,0.069,-0.765,-0.418,-1.191,,3.0,4.18,4.75,0.0,0.0,0.0,15520.0,73.0,1.9
8,Marc Leishman,E,07:11:00,200,289.6,55.88,65.56,39.67,30.0,50.0,10.58,98.01,38.36,2.94,6.82,-0.108,-0.211,-0.26,-1.004,-1.584,73.185,3.25,4.1,4.73,0.0,0.0,0.0,34169.0,26.0,3.39
9,Hideki Matsuyama,E,07:11:00,28,301.6,59.84,66.67,40.17,34.78,62.04,8.25,96.06,44.78,20.0,5.63,0.392,0.634,0.522,-0.077,1.473,69.528,3.05,3.95,4.65,1.0,0.0,1.0,923025.0,18.0,4.34
10,Webb Simpson,E,07:11:00,40,298.6,68.9,64.81,37.33,68.42,71.05,6.25,95.6,58.89,18.42,4.17,0.507,-0.109,0.628,0.754,1.78,69.221,2.92,3.94,4.63,1.0,0.0,0.0,523510.0,7.0,7.11
11,Brandt Snedeker,E,07:11:00,200,293.3,60.91,63.19,38.58,50.0,53.77,7.67,97.64,50.82,24.0,7.81,-0.384,-0.117,0.121,0.691,0.312,70.688,3.1,4.02,4.58,0.0,0.0,0.0,135165.0,89.0,1.65
12,Adam Hadwin,E,07:22:00,300,297.2,60.45,61.81,40.92,50.0,55.45,8.25,97.26,47.2,24.0,4.41,-0.011,-0.643,0.489,-0.044,-0.209,71.459,3.18,4.01,4.7,0.0,0.0,0.0,133378.0,72.0,1.9
13,Kevin Kisner,E,07:22:00,150,290.9,64.71,65.0,38.83,33.33,53.97,9.75,95.83,44.78,25.0,4.65,-0.214,0.465,-0.232,-0.003,0.016,71.585,3.09,4.01,4.73,0.0,0.0,0.0,170818.0,34.0,3.21
14,Andrew Landry,E,07:22:00,500,297.3,67.89,64.29,36.08,36.36,61.11,7.17,96.98,46.46,13.95,3.7,-0.093,0.078,0.025,-0.515,-0.505,71.933,3.03,4.04,4.63,0.0,0.0,0.0,84230.0,135.0,1.22
15,Lukas Michel,E,07:22:00,500,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Larry Mize,E,07:22:00,500,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Scottie Scheffler,E,07:22:00,60,309.1,67.62,69.14,38.58,47.06,55.0,7.33,97.25,44.09,18.33,6.58,0.887,-0.634,0.167,-0.085,0.335,71.109,3.08,3.98,4.57,0.0,0.0,0.0,183820.0,30.0,3.26
18,Bryson DeChambeau,E,07:33:00,7,344.4,52.68,71.53,38.25,33.33,60.98,7.83,95.28,49.23,11.54,13.51,1.297,1.331,0.622,0.54,3.789,66.711,2.88,3.9,4.45,2.0,1.0,1.0,2440750.0,6.0,7.33
19,Matt Kuchar,E,07:33:00,150,286.9,70.31,69.44,39.58,50.0,53.25,9.33,96.37,53.85,8.89,4.41,-0.396,0.265,-0.044,-0.172,-0.348,71.777,3.08,3.97,4.77,0.0,0.0,0.0,70132.0,29.0,3.33
20,Kevin Na,E,07:33:00,250,297.7,65.63,65.08,39.08,35.29,53.41,8.17,96.46,50.0,10.71,5.66,0.044,-0.307,0.363,-0.162,-0.062,71.491,3.17,4.04,4.42,0.0,0.0,0.0,99687.0,38.0,2.81
21,Louis Oosthuizen,E,07:33:00,60,306.5,56.55,63.43,39.92,62.5,63.29,10.08,100.0,50.57,17.78,0.0,0.091,0.317,0.378,0.765,1.552,69.449,3.13,3.97,4.53,1.0,0.0,1.0,970692.0,19.0,4.16
22,Jon Rahm,E,07:33:00,9,315.4,62.2,71.3,34.92,28.57,56.45,9.25,98.21,44.83,18.52,4.44,1.138,0.643,0.071,-0.045,1.808,69.526,3.04,4.01,4.5,1.0,0.0,1.0,944832.0,2.0,10.1
23,Lee Westwood,E,07:33:00,100,305.4,50.0,50.93,42.42,27.27,56.6,10.25,98.88,42.11,10.53,3.45,0.585,0.041,0.244,0.291,1.161,68.839,3.19,4.19,4.64,0.0,0.0,0.0,210757.0,47.0,2.46
24,Paul Casey,E,07:44:00,80,308.8,61.46,64.29,37.33,50.0,55.56,8.08,95.88,50.0,13.95,1.69,0.217,0.08,-0.156,-0.223,-0.081,71.367,3.08,4.08,4.62,0.0,0.0,0.0,211869.0,22.0,3.81
25,Tony Finau,E,07:44:00,33,315.4,51.25,67.59,37.25,76.92,51.43,7.42,96.97,44.68,23.08,4.17,0.34,0.932,0.338,0.224,1.835,68.832,3.02,4.05,4.48,1.0,0.0,0.0,544686.0,17.0,4.48
26,Jason Kokrak,E,07:44:00,90,309.7,63.54,68.65,38.92,53.85,60.76,9.75,97.69,67.02,25.45,2.86,0.562,0.054,-0.028,1.546,2.134,69.153,3.03,3.92,4.52,1.0,1.0,1.0,2008789.0,24.0,3.62
27,Patrick Reed,E,07:44:00,30,289.4,47.22,60.42,41.17,77.78,52.63,7.67,97.27,58.82,17.39,3.23,-0.158,0.934,0.016,1.006,1.798,69.203,3.22,4.05,4.25,0.0,0.0,0.0,353690.0,11.0,5.88
28,Xander Schauffele,E,07:44:00,14,304.9,50.0,68.52,39.17,66.67,57.35,7.58,98.68,56.67,15.79,9.43,0.249,0.625,0.694,1.074,2.641,68.693,2.96,3.96,4.5,2.0,0.0,1.0,1651851.0,8.0,7.1
29,Henrik Stenson,E,07:44:00,200,285.5,67.76,63.64,46.08,62.5,68.06,9.0,94.19,42.0,14.29,3.7,-0.512,0.081,0.111,-1.018,-1.337,71.331,3.13,4.09,4.76,0.0,0.0,0.0,39000.0,54.0,2.22
30,Jason Day,E,07:55:00,40,306.6,56.09,65.69,39.58,57.69,59.05,8.83,97.92,48.31,10.53,7.32,0.426,-0.027,0.095,0.187,0.681,70.26,3.11,4.02,4.6,1.0,0.0,0.0,280219.0,41.0,2.68
31,Abel Gallegos,E,07:55:00,500,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Shane Lowry,E,07:55:00,80,309.0,53.65,67.06,36.5,58.33,51.81,10.67,96.84,54.05,9.8,4.41,0.229,0.533,-0.012,0.106,0.856,70.001,2.97,4.14,4.59,0.0,0.0,0.0,252160.0,27.0,3.39
33,Andy Ogletree,E,07:55:00,500,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Charl Schwartzel,E,07:55:00,250,302.8,51.2,72.22,35.75,47.37,66.67,7.92,97.7,47.83,9.3,9.84,-0.167,0.326,0.159,0.367,0.685,70.815,3.12,3.93,4.57,0.0,0.0,0.0,96800.0,217.0,0.81
35,Tiger Woods,E,07:55:00,50,295.3,56.25,61.11,38.83,40.0,42.86,8.75,98.73,44.9,19.05,7.14,-0.9,-0.694,-0.167,-0.264,-2.025,73.359,3.11,4.21,4.75,0.0,0.0,0.0,13600.0,33.0,3.21
36,Tyler Duncan,E,08:06:00,500,288.9,66.67,63.89,40.25,51.52,60.68,8.17,96.09,46.92,13.24,6.94,0.137,0.441,-0.403,-0.331,-0.156,71.379,3.09,4.07,4.69,0.0,0.0,0.0,171296.0,143.0,1.19
